"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"05.01.2020 06:30 - 05.01.2020 06:45","5724","5975"
"05.01.2020 06:45 - 05.01.2020 07:00","5812","6036"
"05.01.2020 07:00 - 05.01.2020 07:15","5976","6219"
"05.01.2020 07:15 - 05.01.2020 07:30","6076","6346"
"05.01.2020 07:30 - 05.01.2020 07:45","6164","6419"
"05.01.2020 07:45 - 05.01.2020 08:00","6256","6468"
"05.01.2020 08:00 - 05.01.2020 08:15","6344","6584"
"05.01.2020 08:15 - 05.01.2020 08:30","6428","6659"
"05.01.2020 08:30 - 05.01.2020 08:45","6524","6771"
"05.01.2020 08:45 - 05.01.2020 09:00","6604","6859"
"05.01.2020 09:00 - 05.01.2020 09:15","6708","6958"
"05.01.2020 09:15 - 05.01.2020 09:30","6776","7008"
"05.01.2020 09:30 - 05.01.2020 09:45","6832","7033"
"05.01.2020 09:45 - 05.01.2020 10:00","6888","7114"
"05.01.2020 10:00 - 05.01.2020 10:15","6944","7158"
"05.01.2020 10:15 - 05.01.2020 10:30","6992","7205"
"05.01.2020 10:30 - 05.01.2020 10:45","7048","7264"
"05.01.2020 10:45 - 05.01.2020 11:00","7096","7321"
