"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"08.01.2018 22:00 - 08.01.2018 23:00 (CET/CEST)","6244","0"
"08.01.2018 23:00 - 09.01.2018 00:00 (CET/CEST)","6274","0"
"09.01.2018 00:00 - 09.01.2018 01:00 (CET/CEST)","6020","0"
"09.01.2018 01:00 - 09.01.2018 02:00 (CET/CEST)","6037","0"
"09.01.2018 02:00 - 09.01.2018 03:00 (CET/CEST)","6021","0"
"09.01.2018 03:00 - 09.01.2018 04:00 (CET/CEST)","6015","0"
"09.01.2018 04:00 - 09.01.2018 05:00 (CET/CEST)","6067","0"
"09.01.2018 05:00 - 09.01.2018 06:00 (CET/CEST)","6158","0"
"09.01.2018 06:00 - 09.01.2018 07:00 (CET/CEST)","6849","0"
"09.01.2018 07:00 - 09.01.2018 08:00 (CET/CEST)","7402","0"
"09.01.2018 08:00 - 09.01.2018 09:00 (CET/CEST)","7746","0"
"09.01.2018 09:00 - 09.01.2018 10:00 (CET/CEST)","7773","0"
"09.01.2018 10:00 - 09.01.2018 11:00 (CET/CEST)","7746","0"
"09.01.2018 11:00 - 09.01.2018 12:00 (CET/CEST)","7701","0"
"09.01.2018 12:00 - 09.01.2018 13:00 (CET/CEST)","7645","0"
"09.01.2018 13:00 - 09.01.2018 14:00 (CET/CEST)","7810","0"
"09.01.2018 14:00 - 09.01.2018 15:00 (CET/CEST)","7807","0"
"09.01.2018 15:00 - 09.01.2018 16:00 (CET/CEST)","8059","0"
"09.01.2018 16:00 - 09.01.2018 17:00 (CET/CEST)","8231","0"
"09.01.2018 17:00 - 09.01.2018 18:00 (CET/CEST)","9718","0"
"09.01.2018 18:00 - 09.01.2018 19:00 (CET/CEST)","8536","0"
"09.01.2018 19:00 - 09.01.2018 20:00 (CET/CEST)","8229","0"
"09.01.2018 20:00 - 09.01.2018 21:00 (CET/CEST)","7960","0"
"09.01.2018 21:00 - 09.01.2018 22:00 (CET/CEST)","7724","0"
"09.01.2018 22:00 - 09.01.2018 23:00 (CET/CEST)","7571","0"
"09.01.2018 23:00 - 10.01.2018 00:00 (CET/CEST)","6965","0"
"10.01.2018 00:00 - 10.01.2018 01:00 (CET/CEST)","6901","0"
"10.01.2018 01:00 - 10.01.2018 02:00 (CET/CEST)","6797","0"
"10.01.2018 02:00 - 10.01.2018 03:00 (CET/CEST)","6702","0"
"10.01.2018 03:00 - 10.01.2018 04:00 (CET/CEST)","6603","0"
"10.01.2018 04:00 - 10.01.2018 05:00 (CET/CEST)","6676","0"
"10.01.2018 05:00 - 10.01.2018 06:00 (CET/CEST)","6706","0"
"10.01.2018 06:00 - 10.01.2018 07:00 (CET/CEST)","7588","0"
"10.01.2018 07:00 - 10.01.2018 08:00 (CET/CEST)","8289","0"
"10.01.2018 08:00 - 10.01.2018 09:00 (CET/CEST)","9569","0"
"10.01.2018 09:00 - 10.01.2018 10:00 (CET/CEST)","9184","0"
"10.01.2018 10:00 - 10.01.2018 11:00 (CET/CEST)","8847","0"
"10.01.2018 11:00 - 10.01.2018 12:00 (CET/CEST)","8156","0"
"10.01.2018 12:00 - 10.01.2018 13:00 (CET/CEST)","8120","0"
"10.01.2018 13:00 - 10.01.2018 14:00 (CET/CEST)","7982","0"
"10.01.2018 14:00 - 10.01.2018 15:00 (CET/CEST)","8014","0"
"10.01.2018 15:00 - 10.01.2018 16:00 (CET/CEST)","8485","0"
"10.01.2018 16:00 - 10.01.2018 17:00 (CET/CEST)","8677","0"
"10.01.2018 17:00 - 10.01.2018 18:00 (CET/CEST)","9536","0"
"10.01.2018 18:00 - 10.01.2018 19:00 (CET/CEST)","9948","0"
"10.01.2018 19:00 - 10.01.2018 20:00 (CET/CEST)","9183","0"
"10.01.2018 20:00 - 10.01.2018 21:00 (CET/CEST)","7436","0"
"10.01.2018 21:00 - 10.01.2018 22:00 (CET/CEST)","7169","0"
"10.01.2018 22:00 - 10.01.2018 23:00 (CET/CEST)","7028","0"
"10.01.2018 23:00 - 11.01.2018 00:00 (CET/CEST)","6885","0"
"11.01.2018 00:00 - 11.01.2018 01:00 (CET/CEST)","6258","0"
"11.01.2018 01:00 - 11.01.2018 02:00 (CET/CEST)","6016","0"
"11.01.2018 02:00 - 11.01.2018 03:00 (CET/CEST)","5952","0"
"11.01.2018 03:00 - 11.01.2018 04:00 (CET/CEST)","5797","0"
"11.01.2018 04:00 - 11.01.2018 05:00 (CET/CEST)","5796","0"
"11.01.2018 05:00 - 11.01.2018 06:00 (CET/CEST)","6142","0"
"11.01.2018 06:00 - 11.01.2018 07:00 (CET/CEST)","7105","0"
"11.01.2018 07:00 - 11.01.2018 08:00 (CET/CEST)","9700","0"
"11.01.2018 08:00 - 11.01.2018 09:00 (CET/CEST)","10006","0"
"11.01.2018 09:00 - 11.01.2018 10:00 (CET/CEST)","10136","0"
"11.01.2018 10:00 - 11.01.2018 11:00 (CET/CEST)","10174","0"
"11.01.2018 11:00 - 11.01.2018 12:00 (CET/CEST)","10201","0"
"11.01.2018 12:00 - 11.01.2018 13:00 (CET/CEST)","10054","0"
"11.01.2018 13:00 - 11.01.2018 14:00 (CET/CEST)","9961","0"
"11.01.2018 14:00 - 11.01.2018 15:00 (CET/CEST)","9964","0"
"11.01.2018 15:00 - 11.01.2018 16:00 (CET/CEST)","10035","0"
"11.01.2018 16:00 - 11.01.2018 17:00 (CET/CEST)","10260","0"
"11.01.2018 17:00 - 11.01.2018 18:00 (CET/CEST)","10483","0"
"11.01.2018 18:00 - 11.01.2018 19:00 (CET/CEST)","10505","0"
"11.01.2018 19:00 - 11.01.2018 20:00 (CET/CEST)","10331","0"
"11.01.2018 20:00 - 11.01.2018 21:00 (CET/CEST)","9865","0"
"11.01.2018 21:00 - 11.01.2018 22:00 (CET/CEST)","7854","0"
"11.01.2018 22:00 - 11.01.2018 23:00 (CET/CEST)","7447","0"
"11.01.2018 23:00 - 12.01.2018 00:00 (CET/CEST)","6991","0"
"12.01.2018 00:00 - 12.01.2018 01:00 (CET/CEST)","6894","0"
"12.01.2018 01:00 - 12.01.2018 02:00 (CET/CEST)","6522","0"
"12.01.2018 02:00 - 12.01.2018 03:00 (CET/CEST)","6451","0"
"12.01.2018 03:00 - 12.01.2018 04:00 (CET/CEST)","6449","0"
"12.01.2018 04:00 - 12.01.2018 05:00 (CET/CEST)","6447","0"
"12.01.2018 05:00 - 12.01.2018 06:00 (CET/CEST)","6731","0"
"12.01.2018 06:00 - 12.01.2018 07:00 (CET/CEST)","7503","0"
"12.01.2018 07:00 - 12.01.2018 08:00 (CET/CEST)","10207","0"
"12.01.2018 08:00 - 12.01.2018 09:00 (CET/CEST)","10520","0"
"12.01.2018 09:00 - 12.01.2018 10:00 (CET/CEST)","10030","0"
"12.01.2018 10:00 - 12.01.2018 11:00 (CET/CEST)","9701","0"
"12.01.2018 11:00 - 12.01.2018 12:00 (CET/CEST)","10080","0"
"12.01.2018 12:00 - 12.01.2018 13:00 (CET/CEST)","10179","0"
"12.01.2018 13:00 - 12.01.2018 14:00 (CET/CEST)","10055","0"
"12.01.2018 14:00 - 12.01.2018 15:00 (CET/CEST)","9354","0"
"12.01.2018 15:00 - 12.01.2018 16:00 (CET/CEST)","9027","0"
"12.01.2018 16:00 - 12.01.2018 17:00 (CET/CEST)","9959","0"
"12.01.2018 17:00 - 12.01.2018 18:00 (CET/CEST)","10625","0"
"12.01.2018 18:00 - 12.01.2018 19:00 (CET/CEST)","10216","0"
"12.01.2018 19:00 - 12.01.2018 20:00 (CET/CEST)","8318","0"
"12.01.2018 20:00 - 12.01.2018 21:00 (CET/CEST)","7554","0"
"12.01.2018 21:00 - 12.01.2018 22:00 (CET/CEST)","6913","0"
"12.01.2018 22:00 - 12.01.2018 23:00 (CET/CEST)","6618","0"
"12.01.2018 23:00 - 13.01.2018 00:00 (CET/CEST)","6105","0"
"13.01.2018 00:00 - 13.01.2018 01:00 (CET/CEST)","6050","0"
"13.01.2018 01:00 - 13.01.2018 02:00 (CET/CEST)","5746","0"
"13.01.2018 02:00 - 13.01.2018 03:00 (CET/CEST)","5654","0"
"13.01.2018 03:00 - 13.01.2018 04:00 (CET/CEST)","5430","0"
"13.01.2018 04:00 - 13.01.2018 05:00 (CET/CEST)","5426","0"
"13.01.2018 05:00 - 13.01.2018 06:00 (CET/CEST)","5467","0"
"13.01.2018 06:00 - 13.01.2018 07:00 (CET/CEST)","5741","0"
"13.01.2018 07:00 - 13.01.2018 08:00 (CET/CEST)","5889","0"
"13.01.2018 08:00 - 13.01.2018 09:00 (CET/CEST)","6451","0"
"13.01.2018 09:00 - 13.01.2018 10:00 (CET/CEST)","6621","0"
"13.01.2018 10:00 - 13.01.2018 11:00 (CET/CEST)","6645","0"
"13.01.2018 11:00 - 13.01.2018 12:00 (CET/CEST)","6741","0"
"13.01.2018 12:00 - 13.01.2018 13:00 (CET/CEST)","6667","0"
"13.01.2018 13:00 - 13.01.2018 14:00 (CET/CEST)","6460","0"
"13.01.2018 14:00 - 13.01.2018 15:00 (CET/CEST)","6415","0"
"13.01.2018 15:00 - 13.01.2018 16:00 (CET/CEST)","6407","0"
"13.01.2018 16:00 - 13.01.2018 17:00 (CET/CEST)","6628","0"
"13.01.2018 17:00 - 13.01.2018 18:00 (CET/CEST)","6879","0"
"13.01.2018 18:00 - 13.01.2018 19:00 (CET/CEST)","6858","0"
"13.01.2018 19:00 - 13.01.2018 20:00 (CET/CEST)","6713","0"
"13.01.2018 20:00 - 13.01.2018 21:00 (CET/CEST)","6481","0"
"13.01.2018 21:00 - 13.01.2018 22:00 (CET/CEST)","6008","0"
"13.01.2018 22:00 - 13.01.2018 23:00 (CET/CEST)","5756","0"
"13.01.2018 23:00 - 14.01.2018 00:00 (CET/CEST)","5362","0"
"14.01.2018 00:00 - 14.01.2018 01:00 (CET/CEST)","5135","0"
"14.01.2018 01:00 - 14.01.2018 02:00 (CET/CEST)","5117","0"
"14.01.2018 02:00 - 14.01.2018 03:00 (CET/CEST)","5187","0"
"14.01.2018 03:00 - 14.01.2018 04:00 (CET/CEST)","5249","0"
"14.01.2018 04:00 - 14.01.2018 05:00 (CET/CEST)","5284","0"
"14.01.2018 05:00 - 14.01.2018 06:00 (CET/CEST)","5308","0"
"14.01.2018 06:00 - 14.01.2018 07:00 (CET/CEST)","5372","0"
"14.01.2018 07:00 - 14.01.2018 08:00 (CET/CEST)","5544","0"
"14.01.2018 08:00 - 14.01.2018 09:00 (CET/CEST)","5838","0"
"14.01.2018 09:00 - 14.01.2018 10:00 (CET/CEST)","6202","0"
"14.01.2018 10:00 - 14.01.2018 11:00 (CET/CEST)","6267","0"
"14.01.2018 11:00 - 14.01.2018 12:00 (CET/CEST)","6218","0"
"14.01.2018 12:00 - 14.01.2018 13:00 (CET/CEST)","6200","0"
"14.01.2018 13:00 - 14.01.2018 14:00 (CET/CEST)","6101","0"
"14.01.2018 14:00 - 14.01.2018 15:00 (CET/CEST)","5966","0"
"14.01.2018 15:00 - 14.01.2018 16:00 (CET/CEST)","6026","0"
"14.01.2018 16:00 - 14.01.2018 17:00 (CET/CEST)","6077","0"
"14.01.2018 17:00 - 14.01.2018 18:00 (CET/CEST)","6314","0"
"14.01.2018 18:00 - 14.01.2018 19:00 (CET/CEST)","6429","0"
"14.01.2018 19:00 - 14.01.2018 20:00 (CET/CEST)","6190","0"
"14.01.2018 20:00 - 14.01.2018 21:00 (CET/CEST)","6064","0"
"14.01.2018 21:00 - 14.01.2018 22:00 (CET/CEST)","5796","0"
"14.01.2018 22:00 - 14.01.2018 23:00 (CET/CEST)","5616","0"
